CustomerID,Age,Entrepreneur,Unemployed,Married,Divorced,High School,College,AverageBalance,LoanDefault
2,46,0,0,1,0,0,0,358.8,No
3,41,0,0,0,1,0,0,5291.0,No
13,34,0,0,0,1,0,0,12439.7,No
19,44,0,0,1,0,0,0,322.4,No
20,39,0,0,1,0,0,0,570.7,No
22,41,0,0,1,0,0,0,397.8,No
27,58,0,0,1,0,0,0,1142.7,No
36,42,0,0,1,0,0,0,2011.1,No
39,43,0,0,1,0,0,0,670.8,No
43,45,0,0,1,0,0,0,1163.5,No
44,50,0,0,1,0,0,0,557.7,No
48,59,0,0,1,0,0,0,3291.6,No
49,34,0,0,1,0,0,0,310.7,No
50,38,0,0,1,0,0,0,144.0,No
58,51,0,0,1,0,0,0,2965.3,No
62,43,0,0,1,0,0,0,626.6,No
65,54,0,0,0,1,0,0,47.0,No
66,37,0,0,1,0,0,0,5086.9,No
69,38,0,0,1,0,0,0,603.2,No
76,50,0,0,1,0,0,0,358.8,No
79,26,0,0,0,0,0,0,158.6,No
80,30,0,0,1,0,0,0,52.0,No
85,50,0,0,1,0,0,0,97.5,No
87,56,0,0,0,1,0,0,170.0,No
97,53,0,0,0,0,0,0,129.0,No
99,49,0,0,1,0,0,0,319.8,No
105,59,0,0,0,1,0,0,135.0,No
106,50,0,0,0,0,0,0,1777.1,No
109,59,0,0,1,0,0,0,8043.1,No
110,59,0,0,1,0,0,0,1352.0,No
120,52,0,0,1,0,0,0,265.2,No
127,57,0,0,1,0,0,0,2202.2,No
139,45,0,0,1,0,0,0,529.1,No
141,54,0,0,1,0,0,0,35.0,No
145,43,0,0,1,0,0,0,509.6,No
147,46,0,0,1,0,0,0,124.8,No
148,49,0,0,1,0,0,0,891.8,No
149,56,0,0,1,0,0,0,73.0,No
152,30,0,0,1,0,0,0,11.7,No
157,47,0,0,0,0,0,0,887.9,No
158,37,0,0,1,0,0,0,244.4,No
172,35,0,0,1,0,0,0,297.7,No
176,34,0,0,0,0,0,0,144.0,No
177,52,0,0,1,0,0,0,582.4,No
185,54,0,0,1,0,0,0,15191.8,No
186,37,0,0,0,0,0,0,1185.6,No
209,72,0,0,1,0,0,0,3017.3,No
210,41,0,0,0,1,1,0,351.0,No
212,44,0,0,1,0,1,0,483.6,No
217,45,0,0,0,0,1,0,267.8,No
219,56,0,0,1,0,1,0,58.5,No
238,33,0,0,0,0,1,0,457.6,No
239,47,0,0,1,0,1,0,478.4,No
241,56,0,0,1,0,1,0,458.9,No
246,34,0,0,1,0,1,0,728.0,No
255,40,0,0,0,0,1,0,341.9,No
258,48,0,0,1,0,1,0,236.6,No
259,34,0,0,0,1,1,0,87.1,No
260,39,0,0,0,0,1,0,146.9,No
267,34,0,0,1,0,1,0,1129.7,No
269,39,0,0,0,0,1,0,133.0,No
284,29,0,0,1,0,1,0,195.0,No
285,33,0,0,0,0,1,0,131.3,No
287,41,0,0,1,0,1,0,46.0,No
288,29,0,0,1,0,1,0,236.6,No
291,40,0,0,1,0,1,0,7.8,No
305,30,0,0,1,0,1,0,5.2,No
306,35,0,0,1,0,1,0,40.0,No
308,37,0,0,0,0,1,0,318.5,No
312,38,0,0,0,0,1,0,130.0,No
313,49,0,0,1,0,1,0,423.8,No
314,52,0,0,0,0,1,0,708.5,No
315,40,0,0,1,0,1,0,2730.0,No
317,34,0,0,0,1,1,0,815.1,No
324,38,0,0,0,0,1,0,178.1,No
326,50,0,0,1,0,1,0,206.7,No
328,39,0,0,0,0,1,0,744.9,No
333,31,0,0,1,0,1,0,115.7,No
338,44,0,0,0,0,1,0,39.0,No
343,32,0,0,0,0,1,0,115.7,No
348,30,0,0,0,0,1,0,503.1,No
356,33,0,0,0,0,1,0,393.9,No
359,51,0,0,0,1,1,0,442.0,No
362,42,0,0,1,0,1,0,419.9,No
367,36,0,0,0,1,1,0,644.8,No
371,46,0,0,1,0,1,0,1389.7,No
374,40,0,0,0,0,1,0,153.4,No
375,33,0,0,1,0,1,0,79.3,No
380,32,0,0,0,1,1,0,365.3,No
382,45,0,0,1,0,1,0,234.0,No
390,54,0,0,1,0,1,0,288.6,No
398,27,0,0,0,0,1,0,860.6,No
399,31,0,0,1,0,1,0,35.1,No
401,37,0,0,0,0,1,0,1446.9,No
404,34,0,0,1,0,1,0,405.6,No
413,38,0,0,1,0,1,0,328.9,No
416,25,0,0,0,0,1,0,124.8,No
424,41,0,0,0,0,1,0,332.8,No
430,28,0,0,0,0,1,0,133.9,No
440,26,0,0,0,0,1,0,761.8,No
452,50,0,0,1,0,1,0,1448.2,No
457,34,0,0,0,0,1,0,1955.2,No
461,25,0,0,0,0,1,0,1.3,No
478,26,0,0,0,0,1,0,119.6,No
480,36,0,0,0,1,1,0,399.1,No
490,39,0,0,0,0,1,0,18.2,No
500,53,0,0,0,1,1,0,1153.1,No
504,29,0,0,0,0,1,0,57.2,No
510,42,0,0,0,0,1,0,315.9,No
513,49,0,0,1,0,1,0,665.6,No
517,50,0,0,1,0,1,0,956.8,No
518,29,0,0,0,0,1,0,1290.9,No
526,42,0,0,0,1,1,0,1398.8,No
536,40,0,0,0,1,1,0,1300.0,No
539,32,0,0,0,0,1,0,118.3,No
541,36,0,0,1,0,1,0,1297.4,No
549,48,0,0,1,0,1,0,8491.6,No
558,38,0,0,1,0,1,0,863.2,No
565,48,0,0,1,0,1,0,2905.5,No
566,43,0,0,0,0,1,0,73880.3,No
571,49,0,0,1,0,1,0,1989.0,No
574,47,0,0,0,1,1,0,137.8,No
576,53,0,0,0,1,1,0,512.2,No
578,45,0,0,0,1,1,0,858.0,No
580,60,0,0,0,1,1,0,3926.0,No
589,39,0,0,1,0,1,0,777.4,No
590,47,0,0,1,0,1,0,334.1,No
592,42,0,0,1,0,1,0,882.7,No
594,55,0,0,1,0,1,0,1432.6,No
599,59,0,0,0,1,1,0,1267.5,No
600,32,0,0,0,0,1,0,375.7,No
602,46,0,0,1,0,1,0,45.5,No
605,32,0,0,1,0,1,0,108.0,No
609,42,0,0,0,1,1,0,198.9,No
610,43,0,0,0,0,1,0,3300.7,No
622,40,0,0,0,1,1,0,1017.9,No
623,57,0,0,1,0,1,0,5418.4,No
625,30,0,0,1,0,1,0,52.0,No
629,31,0,0,1,0,1,0,6.5,No
644,37,0,0,1,0,1,0,365.3,No
649,26,0,0,0,0,1,0,423.8,No
651,60,0,0,1,0,1,0,15873.0,No
654,40,0,0,1,0,1,0,1794.0,No
657,43,0,0,0,0,1,0,578.5,No
666,52,0,0,0,0,1,0,449.8,No
673,28,0,0,0,0,1,0,455.0,No
674,55,0,0,0,1,1,0,4581.2,No
675,24,0,0,0,0,1,0,1324.7,No
679,33,0,0,1,0,1,0,949.0,No
680,33,0,0,0,0,1,0,564.2,No
688,35,0,0,1,0,1,0,2778.1,No
698,34,0,0,0,0,1,0,163.8,No
701,39,0,0,1,0,1,0,2624.7,No
713,37,0,0,0,1,1,0,4984.2,No
721,45,0,0,1,0,1,0,484.9,No
722,33,0,0,1,0,1,0,2896.4,No
724,31,0,0,1,0,1,0,11419.2,No
736,33,0,0,0,0,1,0,2312.7,No
738,36,0,0,0,1,1,0,638.3,Yes
742,35,0,0,1,0,1,0,2909.4,No
747,34,0,0,0,0,1,0,7211.1,No
750,36,0,0,1,0,1,0,153.4,No
757,29,0,0,0,0,1,0,608.4,No
759,39,0,0,0,1,1,0,3482.7,No
777,38,0,0,1,0,1,0,2390.7,No
781,39,0,0,1,0,1,0,374.4,No
793,52,0,0,0,1,1,0,63.0,No
800,50,0,0,0,0,1,0,2146.3,No
802,48,0,0,0,1,1,0,275.6,No
811,31,0,0,1,0,1,0,387.4,No
813,25,0,0,0,0,1,0,124.8,No
817,37,0,0,1,0,1,0,647.4,No
818,49,0,0,0,1,1,0,367.9,No
821,28,0,0,0,0,1,0,598.0,No
836,58,0,0,1,0,1,0,119.6,No
839,43,0,0,1,0,1,0,483.6,No
841,32,0,0,1,0,1,0,22.1,No
851,26,0,0,1,0,1,0,2133.3,No
856,42,0,0,0,0,1,0,1101.1,No
859,44,0,0,0,1,1,0,114.4,No
863,29,0,0,0,0,1,0,1189.5,No
867,33,0,0,0,1,1,0,622.7,No
871,34,0,0,1,0,1,0,713.7,No
872,30,0,0,0,0,1,0,276.9,No
887,45,0,0,1,0,1,0,224.9,No
892,41,0,0,1,0,1,0,1196.0,No
897,37,0,0,0,0,1,0,168.0,No
912,25,0,0,0,0,1,0,5967.0,No
914,27,0,0,0,0,1,0,143.0,No
919,31,0,0,1,0,1,0,946.4,No
922,46,0,0,1,0,1,0,471.9,No
924,32,0,0,0,0,1,0,842.4,No
931,29,0,0,1,0,1,0,683.8,No
932,32,0,0,0,0,1,0,834.6,No
947,39,0,0,0,1,1,0,28.6,No
951,32,0,0,0,0,1,0,94.9,No
961,28,0,0,0,0,1,0,1609.4,No
971,56,0,0,1,0,1,0,1955.2,No
978,45,0,0,1,0,1,0,339.3,No
979,41,0,0,0,0,1,0,2619.5,No
982,34,0,0,1,0,1,0,1774.5,No
987,30,0,0,1,0,1,0,3810.3,No
989,34,0,0,0,0,1,0,13.0,No
990,45,0,0,1,0,1,0,184.6,No
992,39,0,0,1,0,1,0,158.0,Yes
1001,45,0,0,1,0,1,0,1092.0,No
1003,51,0,0,1,0,1,0,5431.4,No
1004,38,0,0,0,1,1,0,859.3,No
1007,28,0,0,1,0,1,0,10019.1,No
1009,38,0,0,0,1,1,0,24.7,No
1011,32,0,0,1,0,1,0,2566.2,No
1013,40,0,0,1,0,1,0,2076.1,No
1016,44,0,0,1,0,1,0,18.2,No
1017,44,0,0,1,0,1,0,954.2,No
1020,41,0,0,1,0,1,0,144.3,No
1025,32,0,0,0,1,1,0,24.7,No
1027,36,0,0,1,0,1,0,2540.2,No
1031,40,0,0,1,0,1,0,1999.4,No
1034,55,0,0,1,0,1,0,180.7,No
1039,43,0,0,0,1,1,0,1010.1,No
1055,59,0,0,0,1,1,0,4295.2,No
1065,29,0,0,1,0,1,0,391.3,No
1069,41,0,0,1,0,1,0,23.4,No
1090,30,0,0,1,0,1,0,475.8,No
1094,31,0,0,0,0,1,0,2735.2,No
1097,47,0,0,1,0,1,0,45.0,No
1101,49,0,0,1,0,1,0,106.0,No
1114,35,0,0,0,0,1,0,2861.3,No
1116,50,0,0,0,1,1,0,3955.9,No
1119,41,0,0,0,0,1,0,520.0,No
1133,26,0,0,0,0,1,0,755.3,No
1139,29,0,0,0,1,1,0,261.3,No
1141,35,0,0,0,1,1,0,568.1,No
1145,28,0,0,0,0,1,0,923.0,No
1157,42,0,0,1,0,1,0,5471.7,No
1159,37,0,0,1,0,1,0,833.3,No
1163,39,0,0,0,0,1,0,39.0,No
1172,24,0,0,1,0,1,0,703.3,No
1175,38,0,0,1,0,1,0,1149.2,No
1182,47,0,0,1,0,1,0,529.1,No
1183,51,0,0,1,0,1,0,2208.7,No
1187,28,0,0,1,0,1,0,202.8,No
1193,40,0,0,1,0,1,0,434.2,No
1206,48,0,0,0,1,1,0,3460.6,No
1213,40,0,0,1,0,1,0,1231.1,No
1214,38,0,0,1,0,1,0,6336.2,No
1217,41,0,0,1,0,1,0,228.8,No
1218,37,0,0,1,0,1,0,10.0,Yes
1223,52,0,0,1,0,1,0,1305.2,No
1229,37,0,0,1,0,1,0,570.7,No
1232,41,0,0,1,0,1,0,71.0,No
1236,35,0,0,1,0,1,0,3766.1,No
1240,28,0,0,0,0,1,0,347.1,No
1243,55,0,0,1,0,1,0,1292.2,No
1248,40,0,0,0,1,1,0,7.8,No
1250,48,0,0,1,0,1,0,201.5,No
1257,29,0,0,0,0,1,0,222.3,No
1260,55,0,0,1,0,1,0,4763.2,No
1261,49,0,0,0,1,1,0,2221.7,No
1266,38,0,0,1,0,1,0,708.5,No
1269,35,0,0,0,0,1,0,211.9,No
1270,35,0,0,0,0,1,0,166.4,No
1282,35,0,0,1,0,1,0,6107.4,No
1289,51,0,0,1,0,1,0,249.6,No
1293,48,0,0,0,0,1,0,75.4,No
1295,39,0,0,1,0,1,0,2458.3,No
1297,38,0,0,1,0,1,0,656.5,No
1299,35,0,0,1,0,1,0,98.8,Yes
1307,29,0,0,0,0,1,0,123.5,Yes
1308,37,0,0,1,0,1,0,13604.5,No
1312,39,0,0,1,0,1,0,291.2,No
1314,42,0,0,0,1,1,0,132.0,No
1318,48,0,0,0,0,1,0,622.7,No
1326,59,0,0,1,0,1,0,622.7,No
1333,36,0,0,1,0,1,0,704.6,No
1341,43,0,0,1,0,1,0,1446.9,No
1348,40,0,0,1,0,1,0,1.3,No
1349,42,0,0,1,0,1,0,130.0,No
1356,36,0,0,1,0,1,0,5564.0,No
1363,38,0,0,0,0,1,0,565.5,No
1365,23,0,0,1,0,1,0,388.7,No
1367,41,0,0,1,0,1,0,5431.4,No
1374,27,0,0,1,0,1,0,62.4,No
1378,42,0,0,1,0,1,0,11.7,Yes
1382,29,0,0,0,0,1,0,647.4,No
1384,36,0,0,1,0,1,0,1268.8,No
1385,40,0,0,1,0,1,0,367.9,No
1389,36,0,0,0,0,1,0,583.7,No
1391,55,0,0,0,1,1,0,215.8,No
1395,30,0,0,1,0,1,0,1363.7,No
1396,37,0,0,1,0,1,0,158.0,No
1406,33,0,0,1,0,1,0,144.3,No
1408,58,0,0,0,0,1,0,321.1,No
1410,50,0,0,0,0,1,0,1713.4,No
1418,25,0,0,0,0,1,0,885.3,No
1419,28,0,0,0,0,1,0,9.1,No
1425,41,0,0,0,1,1,0,3861.0,No
1443,27,0,0,0,1,1,0,2.6,No
1446,47,0,0,1,0,1,0,1502.8,No
1448,27,0,0,1,0,1,0,565.5,No
1451,31,0,0,1,0,1,0,46.8,No
1459,30,0,0,1,0,1,0,279.5,No
1465,27,0,0,0,0,1,0,585.0,No
1469,57,0,0,1,0,1,0,1485.9,No
1478,48,0,0,1,0,1,0,10.4,No
1482,50,0,0,0,0,1,0,102.7,No
1484,32,0,0,0,0,1,0,347.1,No
1486,42,0,0,1,0,1,0,1472.9,No
1492,41,0,0,1,0,1,0,514.8,No
1500,39,0,0,0,0,1,0,2159.3,No
1509,38,0,0,1,0,1,0,439.4,No
1511,33,0,0,0,0,1,0,1622.4,No
1517,49,0,0,1,0,1,0,17197.7,No
1521,30,0,0,0,1,1,0,5.2,No
1524,35,0,0,0,0,1,0,74.1,No
1533,40,0,0,1,0,1,0,1314.3,No
1543,40,0,0,1,0,1,0,357.5,No
1546,35,0,0,1,0,1,0,431.6,No
1547,49,0,0,1,0,1,0,217.1,No
1555,31,0,0,0,0,1,0,1.3,No
1569,32,0,0,0,0,1,0,22.1,Yes
1570,40,0,0,1,0,1,0,3407.3,No
1572,50,0,0,1,0,1,0,1115.4,No
1577,54,0,0,0,1,1,0,568.1,No
1579,30,0,0,1,0,1,0,88.4,No
1588,35,0,0,1,0,1,0,556.4,No
1591,35,0,0,0,1,1,0,590.2,No
1595,54,0,0,0,1,1,0,1028.3,No
1598,34,0,0,0,1,1,0,168.0,No
1612,37,0,0,0,1,1,0,1116.7,No
1616,40,0,0,1,0,1,0,193.7,No
1618,27,0,0,1,0,1,0,1223.3,No
1623,59,0,0,0,1,1,0,6.5,No
1647,36,0,0,0,0,1,0,26.0,No
1649,27,0,0,1,0,1,0,672.1,Yes
1657,44,0,0,0,1,1,0,211.9,No
1658,33,0,0,0,0,1,0,105.0,No
1664,42,0,0,0,1,1,0,323.7,No
1665,37,0,0,1,0,1,0,131.0,No
1672,29,0,0,1,0,1,0,1.3,No
1683,27,0,0,0,0,1,0,590.2,No
1684,48,0,0,1,0,1,0,3983.2,No
1698,26,0,0,0,0,1,0,96.2,No
1699,60,0,0,0,0,1,0,839.8,No
1710,31,0,0,1,0,1,0,6.5,No
1711,32,0,0,0,0,1,0,150.8,No
1712,55,0,0,1,0,1,0,624.0,No
1715,31,0,0,0,0,1,0,49.0,No
1737,29,0,0,1,0,1,0,588.9,No
1747,35,0,0,0,0,1,0,144.3,No
1753,29,0,0,0,0,1,0,172.9,No
1757,28,0,0,1,0,1,0,22.1,No
1763,46,0,0,0,0,1,0,24.7,No
1771,31,0,0,1,0,1,0,275.6,No
1773,32,0,0,0,1,1,0,59.8,No
1775,28,0,0,0,0,1,0,396.5,No
1777,34,0,0,1,0,1,0,559.0,No
1778,44,0,0,1,0,1,0,7.8,No
1788,34,0,0,1,0,1,0,206.7,No
1795,38,0,0,0,1,1,0,105.0,No
1802,43,0,0,1,0,1,0,2112.5,No
1809,40,0,0,0,0,1,0,863.2,No
1811,26,0,0,1,0,1,0,302.9,No
1812,38,0,0,0,1,1,0,171.0,Yes
1819,36,0,0,1,0,1,0,2252.9,No
1820,31,0,0,0,0,1,0,145.6,No
1821,43,0,0,1,0,1,0,22.1,No
1822,47,0,0,1,0,1,0,377.0,No
1826,27,0,0,1,0,1,0,665.6,No
1836,25,0,0,0,0,1,0,23.4,No
1844,34,0,0,0,0,1,0,1.3,No
1845,39,0,0,1,0,1,0,846.3,No
1850,31,0,0,1,0,1,0,109.2,No
1852,36,0,0,1,0,1,0,371.8,No
1857,30,0,0,0,0,1,0,2210.0,No
1861,30,0,0,0,0,1,0,127.4,No
1868,31,0,0,0,0,1,0,42.9,No
1870,31,0,0,0,0,1,0,6822.4,No
1874,42,0,0,1,0,1,0,604.5,No
1877,54,0,0,1,0,1,0,123.0,No
1879,52,0,0,1,0,1,0,4813.9,No
1885,56,0,0,0,1,1,0,557.7,No
